"","player","nationality","position","squad","age","league","goals","Season"
"1754","Cristian Dell'Orco","it ITA","DF","Sassuolo",23,"Serie A",0,"201718#"
"1755","Rene Krhin","si SVN","MF","Nantes",27,"Ligue 1",1,"201718#"
"1756","Diego Falcinelli","it ITA","FW","Sassuolo",26,"Serie A",2,"201718#"
"1757","Marcello Gazzola","it ITA","DF","Sassuolo",32,"Serie A",0,"201718#"
"1758","Arlind Ajeti","al ALB","DF,MF","Crotone",23,"Serie A",0,"201718#"
"1759","Marco Capuano","it ITA","DF","Crotone",25,"Serie A",0,"201718#"
"1760","Damien Delaney","ie IRL","DF","Crystal Palace",36,"Premier League",0,"201718#"
"1761","Pol Lirola","es ESP","DF,MF","Sassuolo",19,"Serie A",0,"201718#"
"1762","Francesco Magnanelli","it ITA","MF","Sassuolo",32,"Serie A",0,"201718#"
"1763","Alessandro Matri","it ITA","FW","Sassuolo",32,"Serie A",3,"201718#"
"1764","Dominik Kaiser","de GER","MF,DF","RB Leipzig",28,"Bundesliga",0,"201718#"
"1765","Simone Missiroli","it ITA","MF","Sassuolo",31,"Serie A",1,"201718#"
"1766","Gianluca Pegolo","it ITA","GK","Sassuolo",36,"Serie A",0,"201718#"
"1767","Federico Peluso","it ITA","DF","Sassuolo",33,"Serie A",1,"201718#"
"1768","Nicholas Pierini","it ITA","FW,MF","Sassuolo",18,"Serie A",0,"201718#"
"1769","Matteo Politano","it ITA","FW","Sassuolo",23,"Serie A",10,"201718#"
"1770","Antonino Ragusa","it ITA","FW,MF","Sassuolo",27,"Serie A",0,"201718#"
"1771","Rogério","br BRA","DF,MF","Sassuolo",19,"Serie A",0,"201718#"
"1772","Gianluca Scamacca","it ITA","FW","Sassuolo",18,"Serie A",0,"201718#"
"1773","Rubén Pardo","es ESP","MF","Real Sociedad",24,"La Liga",0,"201718#"
"1774","Vincent Nogueira","fr FRA","MF","Strasbourg",29,"Ligue 1",0,"201718#"
"1775","Guido Burgstaller","at AUT","FW","Schalke 04",28,"Bundesliga",11,"201718#"
"1776","Daniel Caligiuri","it ITA","DF,MF","Schalke 04",29,"Bundesliga",6,"201718#"
"1777","Coke","es ESP","MF","Schalke 04",30,"Bundesliga",0,"201718#"
"1778","Franco Di Santo","ar ARG","FW,MF","Schalke 04",28,"Bundesliga",3,"201718#"
"1779","Breel Embolo","ch SUI","FW,MF","Schalke 04",20,"Bundesliga",3,"201718#"
"1780","Ralf Fährmann","de GER","GK","Schalke 04",28,"Bundesliga",0,"201718#"
"1781","Karim Azamoum","fr FRA","MF","Troyes",27,"Ligue 1",1,"201718#"
"1782","Amine Harit","ma MAR","MF,FW","Schalke 04",20,"Bundesliga",3,"201718#"
"1783","Marco Russ","de GER","DF","Eint Frankfurt",31,"Bundesliga",1,"201718#"
"1784","Óscar Duarte","cr CRC","DF","Espanyol",28,"La Liga",0,"201718#"
"1785","Jérôme Gondorf","de GER","MF,FW","Werder Bremen",29,"Bundesliga",1,"201718#"
"1786","Max Meyer","de GER","MF","Schalke 04",21,"Bundesliga",0,"201718#"
"1787","Naldo","br BRA","DF","Espanyol",28,"La Liga",0,"201718#"
"1788","Alexander Nübel","de GER","GK","Schalke 04",20,"Bundesliga",0,"201718#"
"1789","Bastian Oczipka","de GER","DF,MF","Schalke 04",28,"Bundesliga",0,"201718#"
"1790","Marko Pjaca","hr CRO","FW,MF","Schalke 04",22,"Bundesliga",2,"201718#"
"1791","Fabian Reese","de GER","FW,MF","Schalke 04",19,"Bundesliga",0,"201718#"
"1792","Alessandro Schöpf","at AUT","DF,MF","Schalke 04",23,"Bundesliga",0,"201718#"
"1793","Sergio Sánchez","es ESP","DF","Espanyol",31,"La Liga",0,"201718#"
"1794","Cedric Teuchert","de GER","MF,FW","Schalke 04",20,"Bundesliga",0,"201718#"
