"","player","nationality","position","squad","age","league","goals","Season"
"1","Burgui","es ESP","FW,MF","Alavés",23,"La Liga",1,"201718#"
"2","Raphaël Varane","fr FRA","DF","Real Madrid",24,"La Liga",0,"201718#"
"3","Rubén Duarte","es ESP","DF","Alavés",21,"La Liga",0,"201718#"
"4","Samuel Umtiti","fr FRA","DF","Barcelona",23,"La Liga",1,"201718#"
"5","Manu García","es ESP","MF","Alavés",31,"La Liga",3,"201718#"
"6","Ibai Gómez","es ESP","MF,FW","Alavés",27,"La Liga",7,"201718#"
"7","John Guidetti","se SWE","FW","Alavés",25,"La Liga",3,"201718#"
"8","Munir El Haddadi","es ESP","FW","Alavés",21,"La Liga",10,"201718#"
"9","Héctor Hernández","es ESP","MF","Alavés",26,"La Liga",0,"201718#"
"10","Aleksandar Katai","rs SRB","FW,MF","Alavés",26,"La Liga",0,"201718#"
"11","Mats Hummels","de GER","DF","Bayern Munich",28,"Bundesliga",1,"201718#"
"12","Kalidou Koulibaly","sn SEN","DF","Napoli",26,"Serie A",5,"201718#"
"13","Paul Pogba","fr FRA","MF","Manchester Utd",24,"Premier League",6,"201718#"
"14","Fernando Pacheco","es ESP","GK","Alavés",25,"La Liga",0,"201718#"
"15","Alfonso Pedraza","es ESP","MF,DF","Alavés",21,"La Liga",3,"201718#"
"16","Hernán Pérez","py PAR","MF,FW","Alavés",28,"La Liga",0,"201718#"
"17","Óscar Romero","py PAR","MF,FW","Alavés",25,"La Liga",0,"201718#"
"18","Christian Santos","ve VEN","FW","Alavés",29,"La Liga",2,"201718#"
"19","Antonio Sivera","es ESP","GK","Alavés",20,"La Liga",0,"201718#"
"20","Rubén Sobrino","es ESP","FW,MF","Alavés",25,"La Liga",3,"201718#"
"21","Carlos Vigaray","es ESP","DF,MF","Alavés",22,"La Liga",0,"201718#"
"22","Marquinhos","br BRA","DF","Paris S-G",23,"Ligue 1",0,"201718#"
"23","Aymeric Laporte","fr FRA","DF","Athletic Club",23,"La Liga",0,"201718#"
"24","Sekou Baradji","fr FRA","MF","Amiens",33,"Ligue 1",0,"201718#"
"25","Mathieu Bodmer","fr FRA","DF,MF","Amiens",34,"Ligue 1",1,"201718#"
"26","Jean-Christophe Bouet","fr FRA","GK","Amiens",34,"Ligue 1",0,"201718#"
"27","Emmanuel Bourgaud","fr FRA","MF,FW","Amiens",29,"Ligue 1",0,"201718#"
"28","Charly Charrier","fr FRA","MF","Amiens",31,"Ligue 1",0,"201718#"
"29","Issa Cissokho","sn SEN","DF","Amiens",32,"Ligue 1",0,"201718#"
"30","Quentin Cornette","fr FRA","FW,MF","Amiens",23,"Ligue 1",1,"201718#"
"31","Gerard Piqué","es ESP","DF","Barcelona",30,"La Liga",2,"201718#"
"32","Jean-Luc Dompé","fr FRA","MF","Amiens",21,"Ligue 1",0,"201718#"
"33","Toni Kroos","de GER","MF","Real Madrid",27,"La Liga",5,"201718#"
"34","Serge Gakpé","tg TOG","FW,MF","Amiens",30,"Ligue 1",3,"201718#"
"35","Georges Gope-Fenepej","nc NCL","MF,FW","Amiens",28,"Ligue 1",0,"201718#"
"36","Régis Gurtner","fr FRA","GK","Amiens",30,"Ligue 1",0,"201718#"
"37","Oualid El Hajjam","ma MAR","DF","Amiens",26,"Ligue 1",1,"201718#"
"38","Julien Ielsch","fr FRA","MF,DF","Amiens",34,"Ligue 1",0,"201718#"
"39","Gaël Kakuta","cd COD","MF,FW","Amiens",26,"Ligue 1",6,"201718#"
"40","Moussa Konaté","sn SEN","FW","Amiens",24,"Ligue 1",13,"201718#"
"41","Brighton Labeau","fr FRA","FW","Amiens",21,"Ligue 1",0,"201718#"
"42","Harrison Manzala","cd COD","FW,MF","Amiens",23,"Ligue 1",4,"201718#"
"43","Stiven Mendoza","co COL","FW,MF","Amiens",25,"Ligue 1",2,"201718#"
"44","Thomas Monconduit","fr FRA","MF","Amiens",26,"Ligue 1",1,"201718#"
"45","Nathan","br BRA","MF","Amiens",21,"Ligue 1",0,"201718#"
"46","Koke","es ESP","MF,FW","Atlético Madrid",25,"La Liga",4,"201718#"
"47","Yoann Andreu","fr FRA","DF","Angers",28,"Ligue 1",1,"201718#"
"48","Abdoulaye Bamba","ci CIV","DF","Angers",27,"Ligue 1",0,"201718#"
"49","Ludovic Butelle","fr FRA","GK","Angers",34,"Ligue 1",0,"201718#"
"50","Pierrick Capelle","fr FRA","MF,FW","Angers",30,"Ligue 1",2,"201718#"
"51","Saliou Ciss","sn SEN","DF,FW","Angers",27,"Ligue 1",0,"201718#"
"52","Saúl Ñíguez","es ESP","MF","Atlético Madrid",22,"La Liga",2,"201718#"
"53","Enzo Crivelli","fr FRA","FW","Angers",22,"Ligue 1",1,"201718#"
"54","Marco Verratti","it ITA","MF","Paris S-G",24,"Ligue 1",0,"201718#"
"55","Baptiste Guillaume","be BEL","FW","Angers",22,"Ligue 1",1,"201718#"
"56","Wilfried Kanga","fr FRA","FW,MF","Angers",19,"Ligue 1",0,"201718#"
"57","Billy Ketkeophomphone","la LAO","MF,FW","Angers",27,"Ligue 1",0,"201718#"
"58","Alexandre Letellier","fr FRA","GK","Angers",26,"Ligue 1",0,"201718#"
"59","Vincent Manceau","fr FRA","DF","Angers",28,"Ligue 1",0,"201718#"
"60","Naby Keïta","gn GUI","MF","RB Leipzig",22,"Bundesliga",6,"201718#"
"61","Mathieu Michel","fr FRA","GK","Angers",25,"Ligue 1",0,"201718#"
"62","Prince Oniangué","cg CGO","MF","Angers",28,"Ligue 1",1,"201718#"
"63","N'Golo Kanté","fr FRA","MF","Chelsea",26,"Premier League",1,"201718#"
"64","Adrien Rabiot","fr FRA","MF","Paris S-G",22,"Ligue 1",1,"201718#"
"65","Baptiste Santamaria","fr FRA","MF","Angers",22,"Ligue 1",0,"201718#"
"66","Gilles Sunu","tg TOG","MF,FW","Angers",26,"Ligue 1",1,"201718#"
"67","David Alaba","at AUT","DF","Bayern Munich",25,"Bundesliga",2,"201718#"
"68","Flavien Tait","fr FRA","MF,FW","Angers",24,"Ligue 1",4,"201718#"
"69","Virgil van Dijk","nl NED","DF","Liverpool",26,"Premier League",0,"201718#"
"70","Karl Toko Ekambi","cm CMR","FW,MF","Angers",24,"Ligue 1",17,"201718#"
"71","Thomas Touré","ci CIV","MF","Angers",23,"Ligue 1",0,"201718#"
"72","Aymeric Laporte","fr FRA","DF","Manchester City",23,"Premier League",0,"201718#"
"73","Pierre-Emerick Aubameyang","ga GAB","FW","Arsenal",28,"Premier League",10,"201718#"
"74","Héctor Bellerín","es ESP","DF,MF","Arsenal",22,"Premier League",2,"201718#"
"75","John Stones","eng ENG","DF","Manchester City",23,"Premier League",0,"201718#"
"76","Francis Coquelin","fr FRA","MF,DF","Arsenal",26,"Premier League",0,"201718#"
"77","Mohamed Elneny","eg EGY","MF","Arsenal",25,"Premier League",0,"201718#"
"78","Olivier Giroud","fr FRA","FW","Arsenal",30,"Premier League",4,"201718#"
"79","Virgil van Dijk","nl NED","DF","Southampton",26,"Premier League",0,"201718#"
"80","Alex Iwobi","ng NGA","FW,MF","Arsenal",21,"Premier League",3,"201718#"
"81","Jérôme Boateng","de GER","DF","Bayern Munich",28,"Bundesliga",1,"201718#"
"82","Alexandre Lacazette","fr FRA","FW","Arsenal",26,"Premier League",14,"201718#"
"83","Ainsley Maitland-Niles","eng ENG","DF,MF","Arsenal",19,"Premier League",0,"201718#"
"84","Sergio Ramos","es ESP","DF","Real Madrid",31,"La Liga",4,"201718#"
"85","Andreas Christensen","dk DEN","DF","Chelsea",21,"Premier League",0,"201718#"
"86","Henrikh Mkhitaryan","am ARM","FW,MF","Arsenal",28,"Premier League",2,"201718#"
"87","Nacho Monreal","es ESP","DF","Arsenal",31,"Premier League",5,"201718#"
"88","Antonio Rüdiger","de GER","DF","Chelsea",24,"Premier League",2,"201718#"
"89","David Ospina","co COL","GK","Arsenal",28,"Premier League",0,"201718#"
"90","Aaron Ramsey","wal WAL","MF","Arsenal",26,"Premier League",7,"201718#"
"91","Mesut Özil","de GER","MF,FW","Arsenal",28,"Premier League",4,"201718#"
"92","Alex Oxlade-Chamberlain","eng ENG","MF,DF","Arsenal",23,"Premier League",0,"201718#"
"93","Alexis Sánchez","cl CHI","FW,MF","Arsenal",28,"Premier League",7,"201718#"
"94","Theo Walcott","eng ENG","MF,FW","Arsenal",28,"Premier League",0,"201718#"
"95","Danny Welbeck","eng ENG","FW,MF","Arsenal",26,"Premier League",5,"201718#"
"96","Paulinho","br BRA","MF","Barcelona",29,"La Liga",9,"201718#"
"97","Granit Xhaka","ch SUI","MF","Arsenal",24,"Premier League",1,"201718#"
"98","Musa Barrow","gm GAM","FW,MF","Atalanta",18,"Serie A",3,"201718#"
"99","Stefan de Vrij","nl NED","DF","Lazio",25,"Serie A",6,"201718#"
"100","Etrit Berisha","al ALB","GK","Atalanta",28,"Serie A",0,"201718#"
"101","Alessio Romagnoli","it ITA","DF","Milan",22,"Serie A",2,"201718#"
"102","Timothy Castagne","be BEL","DF,MF","Atalanta",21,"Serie A",0,"201718#"
"103","Andreas Cornelius","dk DEN","FW","Atalanta",24,"Serie A",3,"201718#"
"104","Corentin Tolisso","fr FRA","MF","Bayern Munich",22,"Bundesliga",6,"201718#"
"105","Alex Oxlade-Chamberlain","eng ENG","MF,FW","Liverpool",23,"Premier League",3,"201718#"
"106","Pierluigi Gollini","it ITA","GK","Atalanta",22,"Serie A",0,"201718#"
"107","Papu Gómez","ar ARG","FW,MF","Atalanta",29,"Serie A",6,"201718#"
"108","Robin Gosens","de GER","DF,MF","Atalanta",23,"Serie A",1,"201718#"
"109","Leon Goretzka","de GER","MF","Schalke 04",22,"Bundesliga",4,"201718#"
"110","Hans Hateboer","nl NED","DF,MF","Atalanta",23,"Serie A",0,"201718#"
"111","Toby Alderweireld","be BEL","DF","Tottenham",28,"Premier League",0,"201718#"
"112","Eric Dier","eng ENG","MF,DF","Tottenham",23,"Premier League",0,"201718#"
"113","Davinson Sánchez","co COL","DF","Tottenham",21,"Premier League",0,"201718#"
"114","Riccardo Orsolini","it ITA","FW,MF","Atalanta",20,"Serie A",0,"201718#"
"115","Andrea Petagna","it ITA","FW","Atalanta",22,"Serie A",4,"201718#"
"116","Marten de Roon","nl NED","MF","Atalanta",26,"Serie A",3,"201718#"
"117","Francesco Rossi","it ITA","GK","Atalanta",26,"Serie A",0,"201718#"
"118","Leonardo Spinazzola","it ITA","DF","Atalanta",24,"Serie A",0,"201718#"
"119","Niklas Süle","de GER","DF","Bayern Munich",21,"Bundesliga",2,"201718#"
"120","Luca Vido","it ITA","FW,MF","Atalanta",20,"Serie A",0,"201718#"
"121","Aritz Aduriz","es ESP","FW","Athletic Club",36,"La Liga",9,"201718#"
"122","Ager Aketxe","es ESP","MF","Athletic Club",23,"La Liga",0,"201718#"
"123","Diego Godín","uy URU","DF","Atlético Madrid",31,"La Liga",0,"201718#"
"124","Mikel Balenziaga","es ESP","DF","Athletic Club",29,"La Liga",0,"201718#"
"125","Eneko Bóveda","es ESP","DF","Athletic Club",28,"La Liga",0,"201718#"
"126","Iñigo Córdoba","es ESP","FW,MF","Athletic Club",20,"La Liga",1,"201718#"
"127","Arturo Vidal","cl CHI","MF","Bayern Munich",30,"Bundesliga",6,"201718#"
"128","Raúl García","es ESP","MF,FW","Athletic Club",31,"La Liga",10,"201718#"
"129","Iago Herrerín","es ESP","GK","Athletic Club",29,"La Liga",0,"201718#"
"130","Ander Iturraspe","es ESP","MF","Athletic Club",28,"La Liga",0,"201718#"
"131","Nicolás Otamendi","ar ARG","DF","Manchester City",29,"Premier League",4,"201718#"
"132","Iñigo Lekue","es ESP","DF,FW","Athletic Club",24,"La Liga",0,"201718#"
"133","Andoni López","es ESP","DF","Athletic Club",21,"La Liga",0,"201718#"
"134","Óscar de Marcos","es ESP","DF,MF","Athletic Club",28,"La Liga",1,"201718#"
"135","Eric Bailly","ci CIV","DF","Manchester Utd",23,"Premier League",1,"201718#"
"136","Sabin Merino","es ESP","FW,MF","Athletic Club",25,"La Liga",0,"201718#"
"137","Iker Muniain","es ESP","MF,FW","Athletic Club",24,"La Liga",4,"201718#"
"138","Leonardo Bonucci","it ITA","DF","Milan",30,"Serie A",2,"201718#"
"139","Houssem Aouar","fr FRA","MF,FW","Lyon",19,"Ligue 1",6,"201718#"
"140","Enric Saborit","es ESP","DF","Athletic Club",25,"La Liga",0,"201718#"
"141","Mikel San José","es ESP","MF","Athletic Club",28,"La Liga",1,"201718#"
"142","Markel Susaeta","es ESP","FW,MF","Athletic Club",29,"La Liga",3,"201718#"
"143","Mikel Vesga","es ESP","MF","Athletic Club",24,"La Liga",1,"201718#"
"144","Iñaki Williams","es ESP","FW,MF","Athletic Club",23,"La Liga",7,"201718#"
"145","Yannick Carrasco","be BEL","MF,FW","Atlético Madrid",23,"La Liga",3,"201718#"
"146","Ángel Correa","ar ARG","FW,MF","Atlético Madrid",22,"La Liga",8,"201718#"
"147","Diego Costa","es ESP","FW","Atlético Madrid",28,"La Liga",3,"201718#"
"148","Allan","br BRA","MF","Napoli",26,"Serie A",4,"201718#"
"149","Gabi","es ESP","MF","Atlético Madrid",34,"La Liga",0,"201718#"
"150","Kévin Gameiro","fr FRA","FW","Atlético Madrid",30,"La Liga",7,"201718#"
"151","Iñigo Martínez","es ESP","DF","Athletic Club",26,"La Liga",0,"201718#"
"152","Antoine Griezmann","fr FRA","FW","Atlético Madrid",26,"La Liga",19,"201718#"
"153","Lucas Hernández","fr FRA","DF","Atlético Madrid",21,"La Liga",0,"201718#"
"154","Carlos Isaac","es ESP","DF","Atlético Madrid",19,"La Liga",0,"201718#"
"155","Juanfran","es ESP","DF","Atlético Madrid",32,"La Liga",0,"201718#"
"156","Cesc Fàbregas","es ESP","MF","Chelsea",30,"Premier League",2,"201718#"
"157","Filipe Luís","br BRA","DF","Atlético Madrid",31,"La Liga",1,"201718#"
"158","Blaise Matuidi","fr FRA","MF","Juventus",30,"Serie A",3,"201718#"
"159","Georginio Wijnaldum","nl NED","MF","Liverpool",26,"Premier League",1,"201718#"
"160","Jan Oblak","si SVN","GK","Atlético Madrid",24,"La Liga",0,"201718#"
"161","Thomas Partey","gh GHA","MF,DF","Atlético Madrid",24,"La Liga",3,"201718#"
"162","Arona Sané","sn SEN","MF","Atlético Madrid",22,"La Liga",0,"201718#"
"163","Fernando Torres","es ESP","FW","Atlético Madrid",33,"La Liga",5,"201718#"
"164","Luciano Vietto","ar ARG","FW","Atlético Madrid",23,"La Liga",0,"201718#"
"165","Vitolo","es ESP","MF,FW","Atlético Madrid",27,"La Liga",1,"201718#"
"166","Axel Werner","ar ARG","GK","Atlético Madrid",21,"La Liga",0,"201718#"
"167","Daniel Baier","de GER","MF","Augsburg",33,"Bundesliga",0,"201718#"
"168","Caiuby","br BRA","FW,MF","Augsburg",29,"Bundesliga",5,"201718#"
"169","Sergio Córdova","ve VEN","FW,MF","Augsburg",19,"Bundesliga",2,"201718#"
"170","Iñigo Martínez","es ESP","DF","Real Sociedad",26,"La Liga",1,"201718#"
"171","Raphael Framberger","de GER","DF","Augsburg",21,"Bundesliga",0,"201718#"
"172","Jan Vertonghen","be BEL","DF","Tottenham",30,"Premier League",0,"201718#"
"173","Michael Gregoritsch","at AUT","MF,FW","Augsburg",23,"Bundesliga",13,"201718#"
"174","Marcel Heller","de GER","FW,MF","Augsburg",31,"Bundesliga",0,"201718#"
"175","Jonathan Tah","de GER","DF","Leverkusen",21,"Bundesliga",0,"201718#"
"176","Marwin Hitz","ch SUI","GK","Augsburg",29,"Bundesliga",0,"201718#"
"177","Kilian Jakob","de GER","FW","Augsburg",19,"Bundesliga",0,"201718#"
"178","Presnel Kimpembe","fr FRA","DF","Paris S-G",21,"Ligue 1",0,"201718#"
"179","Rani Khedira","de GER","MF,DF","Augsburg",23,"Bundesliga",1,"201718#"
"180","Andreas Luthe","de GER","GK","Augsburg",30,"Bundesliga",0,"201718#"
"181","Philipp Max","de GER","DF","Augsburg",23,"Bundesliga",2,"201718#"
"182","Ander Herrera","es ESP","MF","Manchester Utd",27,"Premier League",0,"201718#"
"183","Daniel Opare","gh GHA","DF,MF","Augsburg",26,"Bundesliga",0,"201718#"
"184","Shawn Parker","de GER","DF,MF","Augsburg",24,"Bundesliga",0,"201718#"
"185","Marco Richter","de GER","FW,MF","Augsburg",19,"Bundesliga",1,"201718#"
"186","Jonathan Schmid","fr FRA","DF,FW","Augsburg",27,"Bundesliga",0,"201718#"
"187","Erik Thommy","de GER","FW","Augsburg",22,"Bundesliga",0,"201718#"
"188","Jordi Alba","es ESP","DF","Barcelona",28,"La Liga",2,"201718#"
"189","Paco Alcácer","es ESP","FW,MF","Barcelona",23,"La Liga",4,"201718#"
"190","Sergio Busquets","es ESP","MF","Barcelona",29,"La Liga",1,"201718#"
"191","Jasper Cillessen","nl NED","GK","Barcelona",28,"La Liga",0,"201718#"
"192","Philippe Coutinho","br BRA","FW,MF","Barcelona",25,"La Liga",8,"201718#"
"193","Ousmane Dembélé","fr FRA","FW,MF","Barcelona",20,"La Liga",3,"201718#"
"194","Gerard Deulofeu","es ESP","MF,FW","Barcelona",23,"La Liga",1,"201718#"
"195","Lucas Digne","fr FRA","DF","Barcelona",24,"La Liga",0,"201718#"
"196","Franck Kessié","ci CIV","MF","Milan",20,"Serie A",5,"201718#"
"197","Giovani Lo Celso","ar ARG","MF","Paris S-G",21,"Ligue 1",4,"201718#"
"198","Javier Mascherano","ar ARG","DF","Barcelona",33,"La Liga",0,"201718#"
"199","Lionel Messi","ar ARG","FW,MF","Barcelona",30,"La Liga",34,"201718#"
"200","Dayot Upamecano","fr FRA","DF","RB Leipzig",18,"Bundesliga",3,"201718#"
"201","Blaise Matuidi","fr FRA","MF","Paris S-G",30,"Ligue 1",0,"201718#"
"202","Shkodran Mustafi","de GER","DF","Arsenal",25,"Premier League",3,"201718#"
"203","Sergi Roberto","es ESP","DF","Barcelona",25,"La Liga",1,"201718#"
"204","Nélson Semedo","pt POR","DF","Barcelona",23,"La Liga",0,"201718#"
"205","Denis Suárez","es ESP","MF,FW","Barcelona",23,"La Liga",2,"201718#"
"206","Luis Suárez","uy URU","FW","Barcelona",30,"La Liga",25,"201718#"
"207","Marc-André ter Stegen","de GER","GK","Barcelona",25,"La Liga",0,"201718#"
"208","Mattia Caldara","it ITA","DF","Atalanta",23,"Serie A",3,"201718#"
"209","David Luiz","br BRA","DF,MF","Chelsea",30,"Premier League",1,"201718#"
"210","Aleix Vidal","es ESP","MF,FW","Barcelona",27,"La Liga",1,"201718#"
"211","Harry Maguire","eng ENG","DF","Leicester City",24,"Premier League",2,"201718#"
"212","Juan Bernat","es ESP","DF,FW","Bayern Munich",24,"Bundesliga",0,"201718#"
"213","Victor Lindelöf","se SWE","DF","Manchester Utd",23,"Premier League",0,"201718#"
"214","Kingsley Coman","fr FRA","FW,MF","Bayern Munich",21,"Bundesliga",3,"201718#"
"215","Niklas Dorsch","de GER","MF","Bayern Munich",19,"Bundesliga",1,"201718#"
"216","Franck Evina","cm CMR","FW","Bayern Munich",17,"Bundesliga",0,"201718#"
"217","Matthias Ginter","de GER","DF","M'Gladbach",23,"Bundesliga",5,"201718#"
"218","Clément Lenglet","fr FRA","DF","Sevilla",22,"La Liga",3,"201718#"
"219","Joshua Kimmich","de GER","DF","Bayern Munich",22,"Bundesliga",1,"201718#"
"220","Robert Lewandowski","pl POL","FW","Bayern Munich",28,"Bundesliga",29,"201718#"
"221","Medhi Benatia","ma MAR","DF","Juventus",30,"Serie A",2,"201718#"
"222","Javi Martínez","es ESP","MF,DF","Bayern Munich",28,"Bundesliga",1,"201718#"
"223","Thomas Müller","de GER","FW,MF","Bayern Munich",27,"Bundesliga",8,"201718#"
"224","Manuel Neuer","de GER","GK","Bayern Munich",31,"Bundesliga",0,"201718#"
"225","Kwasi Okyere Wriedt","gh GHA","MF","Bayern Munich",23,"Bundesliga",0,"201718#"
"226","Geoffrey Kondogbia","cf CTA","MF","Valencia",24,"La Liga",4,"201718#"
"227","Franck Ribéry","fr FRA","FW,MF","Bayern Munich",34,"Bundesliga",5,"201718#"
"228","Arjen Robben","nl NED","FW,MF","Bayern Munich",33,"Bundesliga",5,"201718#"
"229","James Rodríguez","co COL","MF","Bayern Munich",26,"Bundesliga",7,"201718#"
"230","Sebastian Rudy","de GER","MF","Bayern Munich",27,"Bundesliga",1,"201718#"
"231","Tom Starke","de GER","GK","Bayern Munich",36,"Bundesliga",0,"201718#"
"232","Manuel Akanji","ch SUI","DF","Dortmund",22,"Bundesliga",0,"201718#"
"233","Carlos Soler","es ESP","MF,FW","Valencia",20,"La Liga",1,"201718#"
"234","Sven Ulreich","de GER","GK","Bayern Munich",28,"Bundesliga",0,"201718#"
"235","Rafinha","br BRA","DF","Bayern Munich",31,"Bundesliga",1,"201718#"
"236","Sandro Wagner","de GER","FW","Bayern Munich",29,"Bundesliga",8,"201718#"
"237","Daniele Rugani","it ITA","DF","Juventus",23,"Serie A",2,"201718#"
"238","Samuel Armenteros","se SWE","FW","Benevento",27,"Serie A",1,"201718#"
"239","Vid Belec","si SVN","GK","Benevento",27,"Serie A",0,"201718#"
"240","Joe Gomez","eng ENG","DF","Liverpool",20,"Premier League",0,"201718#"
"241","Enrico Brignola","it ITA","FW,MF","Benevento",18,"Serie A",3,"201718#"
"242","Alberto Brignoli","it ITA","GK","Benevento",25,"Serie A",1,"201718#"
"243","Rafinha","br BRA","MF,FW","Inter",24,"Serie A",2,"201718#"
"244","Fabio Ceravolo","it ITA","FW","Benevento",30,"Serie A",0,"201718#"
"245","Lorenzo Pellegrini","it ITA","MF","Roma",21,"Serie A",3,"201718#"
"246","Amato Ciciretti","it ITA","MF,FW","Benevento",23,"Serie A",2,"201718#"
"247","Karamoko Cissé","gn GUI","FW,DF","Benevento",28,"Serie A",0,"201718#"
"248","Massimo Coda","it ITA","FW","Benevento",28,"Serie A",4,"201718#"
"249","Issa Diop","fr FRA","DF","Toulouse",20,"Ligue 1",3,"201718#"
"250","Marco D'Alessandro","it ITA","MF,FW","Benevento",26,"Serie A",1,"201718#"
"251","Kevin Strootman","nl NED","MF","Roma",27,"Serie A",1,"201718#"
"252","Gianluca Di Chiara","it ITA","DF","Benevento",23,"Serie A",0,"201718#"
"253","Cheick Diabaté","ml MLI","FW,MF","Benevento",29,"Serie A",8,"201718#"
"254","Michael Keane","eng ENG","DF","Everton",24,"Premier League",0,"201718#"
"255","Guilherme","br BRA","MF,FW","Benevento",26,"Serie A",2,"201718#"
"256","Bright Gyamfi","gh GHA","DF,MF","Benevento",21,"Serie A",0,"201718#"
"257","Pietro Iemmello","it ITA","FW","Benevento",25,"Serie A",2,"201718#"
"258","Achraf Lazaar","ma MAR","DF,MF","Benevento",25,"Serie A",1,"201718#"
"259","Gaetano Letizia","it ITA","DF","Benevento",27,"Serie A",1,"201718#"
"260","Cristiano Lombardi","it ITA","DF,MF","Benevento",21,"Serie A",0,"201718#"
"261","Dejan Lovren","hr CRO","DF","Liverpool",28,"Premier League",2,"201718#"
"262","Sami Khedira","de GER","MF","Juventus",30,"Serie A",9,"201718#"
"263","Vittorio Parigini","it ITA","FW,MF","Benevento",21,"Serie A",0,"201718#"
"264","Christian Puggioni","it ITA","GK","Benevento",36,"Serie A",0,"201718#"
"265","George Pușcaș","ro ROU","FW,MF","Benevento",21,"Serie A",1,"201718#"
"266","Bacary Sagna","fr FRA","DF","Benevento",34,"Serie A",1,"201718#"
"267","Sandro","br BRA","MF","Benevento",28,"Serie A",1,"201718#"
"268","Phil Jones","eng ENG","DF","Manchester Utd",25,"Premier League",0,"201718#"
"269","Lorenzo Venuti","it ITA","DF","Benevento",22,"Serie A",0,"201718#"
"270","Bryan Cristante","it ITA","MF,FW","Atalanta",22,"Serie A",9,"201718#"
"271","Nicolò Barella","it ITA","MF","Cagliari",20,"Serie A",6,"201718#"
"272","Gabriel Paulista","br BRA","DF","Valencia",26,"La Liga",0,"201718#"
"273","Antonio Adán","es ESP","GK","Betis",30,"La Liga",0,"201718#"
"274","Panagiotis Retsos","gr GRE","DF","Leverkusen",18,"Bundesliga",1,"201718#"
"275","Antonio Barragán","es ESP","DF,MF","Betis",30,"La Liga",0,"201718#"
"276","Daley Blind","nl NED","DF,MF","Manchester Utd",27,"Premier League",0,"201718#"
"277","Ryad Boudebouz","dz ALG","MF,FW","Betis",27,"La Liga",2,"201718#"
"278","Ross Barkley","eng ENG","MF,FW","Chelsea",23,"Premier League",0,"201718#"
"279","Joel Campbell","cr CRC","MF,FW","Betis",25,"La Liga",2,"201718#"
"280","Rubén Castro","es ESP","FW","Betis",36,"La Liga",1,"201718#"
"281","Riza Durmisi","dk DEN","DF,MF","Betis",23,"La Liga",2,"201718#"
"282","Marcos Rojo","ar ARG","DF","Manchester Utd",27,"Premier League",0,"201718#"
"283","Javi García","es ESP","MF,DF","Betis",30,"La Liga",1,"201718#"
"284","Dani Giménez","es ESP","GK","Betis",34,"La Liga",0,"201718#"
"285","Julio Gracia","es ESP","FW,MF","Betis",19,"La Liga",0,"201718#"
"286","João Mário","pt POR","MF,FW","Inter",24,"Serie A",0,"201718#"
"287","Francis Guerrero","es ESP","DF,MF","Betis",21,"La Liga",1,"201718#"
"288","Joaquín","es ESP","FW,MF","Betis",36,"La Liga",4,"201718#"
"289","Sergio León","es ESP","FW","Betis",28,"La Liga",11,"201718#"
"290","Pedro López","es ESP","GK","Betis",22,"La Liga",0,"201718#"
"291","Chris Smalling","eng ENG","DF","Manchester Utd",27,"Premier League",4,"201718#"
"292","Loren Morón","es ESP","FW","Betis",23,"La Liga",7,"201718#"
"293","Matías Nahuel","es ESP","FW,MF","Betis",20,"La Liga",0,"201718#"
"294","Juanjo Narváez","co COL","MF","Betis",22,"La Liga",0,"201718#"
"295","Rafa Navarro","es ESP","DF","Betis",23,"La Liga",0,"201718#"
"296","Aitor Ruibal","es ESP","FW","Betis",21,"La Liga",0,"201718#"
"297","Antonio Sanabria","py PAR","FW","Betis",21,"La Liga",8,"201718#"
"298","Cristian Tello","es ESP","FW,MF","Betis",25,"La Liga",4,"201718#"
"299","Felipe Avenatti","uy URU","FW,MF","Bologna",24,"Serie A",0,"201718#"
"300","Lorenzo Crisetig","it ITA","MF","Bologna",24,"Serie A",0,"201718#"
"301","Kamil Glik","pl POL","DF","Monaco",29,"Ligue 1",3,"201718#"
"302","Mattia Destro","it ITA","FW","Bologna",26,"Serie A",6,"201718#"
"303","Federico Di Francesco","it ITA","FW,DF","Bologna",23,"Serie A",1,"201718#"
"304","Jordan Henderson","eng ENG","MF","Liverpool",27,"Premier League",1,"201718#"
"305","Jemerson","br BRA","DF","Monaco",24,"Ligue 1",2,"201718#"
"306","Thilo Kehrer","de GER","DF","Schalke 04",20,"Bundesliga",3,"201718#"
"307","Cheick Keita","ml MLI","DF","Bologna",21,"Serie A",0,"201718#"
"308","Emil Krafth","se SWE","DF","Bologna",22,"Serie A",0,"201718#"
"309","Marc Bartra","es ESP","DF","Betis",26,"La Liga",1,"201718#"
"310","Adam Masina","it ITA","DF","Bologna",23,"Serie A",0,"201718#"
"311","Ibrahima Mbaye","sn SEN","DF","Bologna",22,"Serie A",1,"201718#"
"312","Antonio Mirante","it ITA","GK","Bologna",34,"Serie A",0,"201718#"
"313","Ádám Nagy","hu HUN","MF","Bologna",22,"Serie A",1,"201718#"
"314","Orji Okwonkwo","ng NGA","MF,FW","Bologna",19,"Serie A",3,"201718#"
"315","Riccardo Orsolini","it ITA","FW,DF","Bologna",20,"Serie A",0,"201718#"
"316","Rodrigo Palacio","ar ARG","FW,MF","Bologna",35,"Serie A",4,"201718#"
"317","Marcel Sabitzer","at AUT","MF,FW","RB Leipzig",23,"Bundesliga",3,"201718#"
